,system_code,location_code,location_name,primary_address_line_1,LONGITUDE,LATITUDE
0,15K001,K001,P.S. 001 The Bergen,309 47 STREET,-74.01142,40.648959
1,17K002,K002,Parkside Preparatory Academy,655 PARKSIDE AVENUE,-73.951575,40.656423
2,13K003,K003,P.S. 003 The Bedford Village,50 JEFFERSON AVENUE,-73.955219,40.682311
3,75K004,K004,P.S. K004,923 JEROME STREET,-73.879276,40.6585
4,16K005,K005,P.S. 005 Dr. Ronald McNair,820 HANCOCK STREET,-73.92197,40.685241
5,17K006,K006,Norma Adams Clemons Academy,43 SNYDER AVENUE,-73.956279,40.648973
6,19K007,K007,P.S. 007 Abraham Lincoln,858 JAMAICA AVENUE,-73.872983,40.689213
7,13K008,K008,P.S. 008 Robert Fulton,37 HICKS STREET,-73.992841,40.700709
8,13K009,K009,P.S. 009 Teunis G. Bergen,80 UNDERHILL AVENUE,-73.966333,40.678554
9,15K010,K010,"Magnet School of Math, Science and Design Technolo",511 7 AVENUE,-73.985946,40.660912
10,13K011,K011,P.S. 011 Purvis J. Behan,419 WAVERLY AVENUE,-73.96589,40.685896
11,17K012,K012,Dr. Jacqueline Peek-Davis School,430 HOWARD AVENUE,-73.920095,40.673124
12,19K013,K013,P.S. 013 Roberto Clemente,557 PENNSYLVANIA AVENUE,-73.893328,40.664067
13,22K014,K014,J.H.S. 014 Shell Bank,2424 BATCHELDER STREET,-73.938107,40.593232
14,15K015,K015,P.S. 015 Patrick F. Daly,71 SULLIVAN STREET,-74.011864,40.677085
15,14K016,K016,P.S. 016 Leonard Dunkly,157 WILSON STREET,-73.962049,40.706069
16,14K017,K017,P.S. 017 Henry D. Woodworth,208 NORTH  5 STREET,-73.9573,40.715268
17,14K018,K018,P.S. 018 Edward Bush,101 MAUJER STREET,-73.946695,40.71088
18,14K019,K019,P.S. 019 Roberto Clemente,325 SOUTH  3 STREET,-73.954678,40.710107
19,13K020,K020,P.S. 020 Clinton Hill,225 ADELPHI STREET,-73.970896,40.690742
20,16K021,K021,P.S. 021 Crispus Attucks,180 CHAUNCEY STREET,-73.926673,40.68035
21,17K022,K022,P.S. 022,443 ST MARKS AVENUE,-73.960093,40.6771
22,14K023,K023,P.S. 023 Carter G. Woodson,545 WILLOUGHBY AVENUE,-73.947256,40.69447
23,15K024,K024,P.S. 024,427 38 STREET,-74.004533,40.652832
24,16K025,K025,P.S. 025 Eubie Blake School,787 LAFAYETTE AVENUE,-73.940749,40.691472
25,16K026,K026,P.S. 026 Jesse Owens,1014 LAFAYETTE AVENUE,-73.9317,40.6921
26,16K026,K026,P.S. 026 Jesse Owens,1014 LAFAYETTE AVENUE,-73.9317,40.6921
27,15K027,K027,Agnes Y. Humphrey School for Leadership,27 HUNTINGTON STREET,-74.005151,40.677914
28,16K028,K028,P.S. 028 The Warren Prep Academy,265 RALPH AVENUE,-73.921099,40.680239
29,15K029,K029,P.S. 029 John M. Harrigan,425 HENRY STREET,-73.997447,40.686843
30,20K030,K030,P.S./I.S. 30 Mary White Ovington,7002 4TH AVENUE,-74.02395,40.633598
31,14K031,K031,P.S. 031 Samuel F. Dupont,75 MESEROLE AVENUE,-73.954139,40.72697
32,15K032,K032,P.S. 032 Samuel Mills Sprole,317 HOYT STREET,-73.991141,40.680159
33,14K033,K033,JHS 033 Mark Hopkins,70 TOMPKINS AVENUE,-73.9466,40.6971
34,14K034,K034,P.S. 034 Oliver H. Perry,131 NORMAN AVENUE,-73.949756,40.726378
35,16K035,K035,M.S. 035 Stephen Decatur,272 MACDONOUGH STREET,-73.935891,40.681528
36,75K036,K036,P.S. 36,2045 LINDEN BOULEVARD,-73.887195,40.660465
37,84K037,K037,Beginning with Children Charter School II,215 HEYWARD STREET,-73.953304,40.703996
38,15K038,K038,P.S. 038 The Pacific,450 PACIFIC STREET,-73.982826,40.684945
39,15K039,K039,P.S. 039 Henry Bristow,417 6 AVENUE,-73.982909,40.668644
40,16K040,K040,P.S. 040 George W. Carver,265 RALPH AVENUE,-73.921099,40.680239
41,23K041,K041,P.S. 041 Francis White,411 THATFORD AVENUE,-73.906925,40.660455
42,23K041,K041,P.S. 041 Francis White,411 THATFORD AVENUE,-73.906925,40.660455
43,13K044,K044,P.S. 044 Marcus Garvey,432 MONROE STREET,-73.940859,40.686213
44,32K045,K045,P.S./I.S. 045 Horace E. Greene,84 SCHAEFER STREET,-73.91043,40.686424
45,13K046,K046,P.S. 046 Edward C. Blum,100 CLERMONT AVENUE,-73.971644,40.69453
46,20K048,K048,P.S. 048 Mapleton,6015 18 AVENUE,-73.987165,40.621481
47,14K049,K049,J.H.S. 049 William J. Gaynor,223 GRAHAM AVENUE,-73.9436,40.71
48,14K050,K050,J.H.S. 050 John D. Wells,183 SOUTH  3 STREET,-73.960137,40.711915
49,15K051,K051,M.S. 51 William Alexander,350 5 AVENUE,-73.98505,40.672358
50,22K052,K052,P.S. 052 Sheepshead Bay,2675 EAST  29 STREET,-73.940135,40.588372
51,75K053,K053,P.S. K053,544 7TH AVENUE,-73.988743,40.660805
52,13K054,K054,P.S. 054 Samuel C. Barnes,195 SANDFORD STREET,-73.952504,40.692616
53,23K055,K055,I.S. 055 Ocean Hill Brownsville,2021 BERGEN STREET,-73.9133,40.6741
54,13K056,K056,P.S. 056 Lewis H. Latimer,170 GATES AVENUE,-73.960536,40.684286
55,16K057,K057,Whitelaw Reid Academy of Arts and Business,125 STUYVESANT AVENUE,-73.932254,40.691467
56,15K058,K058,P.S. 058 The Carroll,330 SMITH STREET,-73.995486,40.680379
57,14K059,K059,P.S. 059 William Floyd,211 THROOP AVENUE,-73.943279,40.697619
58,17K061,K061,M.S. 061 Dr. Gladstone H. Atwell,400 EMPIRE BOULEVARD,-73.949198,40.663605
59,20K062,K062,J.H.S. 062 Ditmas,700 CORTELYOU ROAD,-73.971153,40.638087
60,19K065,K065,P.S. 065,696 JAMAICA AVENUE,-73.878353,40.686534
61,18K066,K066,P.S. 66,845 EAST  96 STREET,-73.907064,40.648749
62,13K067,K067,P.S. 067 Charles A. Dorsey,51 SAINT EDWARDS STREET,-73.977674,40.695339
63,18K068,K068,I.S. 068 Isaac Bildersee,956 EAST  82 STREET,-73.911215,40.635388
64,20K069,K069,P.S. 69 Vincent D. Grippo School,6302 9TH AVENUE,-74.009752,40.632392
65,20K069,K069,P.S. 69 Vincent D. Grippo School,6302 9TH AVENUE,-74.009752,40.632392
66,14K071,K071,Juan Morel Campos Secondary School,215 HEYWARD STREET,-73.953304,40.703996
67,19K072,K072,P.S./I.S. 072 Annette P Goldman,605 SHEPHERD AVENUE,-73.879131,40.669358
68,23K073,K073,P.S. 073 Thomas S. Boyland,251 MCDOUGAL STREET,-73.910719,40.680679
69,32K075,K075,P.S. 075 Mayda Cortiella,95 GROVE STREET,-73.921336,40.693261
70,75K077,K077,P.S. K077,62 PARK PLACE,-73.976648,40.678809
71,22K078,K078,J.H.S. 078 Roy H. Mann,1420 EAST  68 STREET,-73.912914,40.620537
72,16K081,K081,P.S. 081 Thaddeus Stevens,990 DEKALB AVENUE,-73.935123,40.692866
73,14K084,K084,P.S. 084 Jose De Diego,250 BERRY STREET,-73.963808,40.715089
74,32K086,K086,P.S. 086 The Irvington,220 IRVING AVENUE,-73.917804,40.700595
75,15K088,K088,J.H.S. 088 Peter Rouget,544 7TH AVENUE,-73.988743,40.660805
76,19K089,K089,P.S. 089 Cypress Hills,265 WARWICK STREET,-73.886712,40.677707
77,21K090,K090,P.S. 90 Edna Cohen School,2840 WEST  12 STREET,-73.980387,40.578192
78,17K091,K091,P.S. 091 The Albany Avenue School,532 ALBANY AVENUE,-73.940707,40.661806
79,17K092,K092,P.S. 092 Adrian Hegeman,601 PARKSIDE AVENUE,-73.95381,40.656276
80,13K093,K093,P.S. 093 William H. Prescott,31 NEW YORK AVENUE,-73.946381,40.679079
81,15K094,K094,P.S. 094 The Henry Longfellow,5010 6 AVENUE,-74.008795,40.64373
82,21K095,K095,P.S. 095 The Gravesend,345 VAN SICKLEN STREET,-73.974664,40.595996
83,21K096,K096,I.S. 096 Seth Low,99 AVENUE P,-73.984985,40.608135
84,21K097,K097,P.S. 97 The Highlawn,1855 STILLWELL AVENUE,-73.98557,40.601191
85,21K098,K098,I.S. 98 Bay Academy,1401 EMMONS AVENUE,-73.954047,40.583893
86,21K099,K099,P.S. 099 Isaac Asimov,1120 EAST  10 STREET,-73.966031,40.621474
87,21K100,K100,P.S. 100 The Coney Island School,2951 WEST  3 STREET,-73.97083,40.577591
88,21K101,K101,P.S. 101 The Verrazano,2360 BENSON AVENUE,-73.991962,40.597379
89,20K102,K102,P.S. 102 The Bayview,211 72 STREET,-74.028758,40.634318
90,13K103,K103,Satellite Three,170 GATES AVENUE,-73.960536,40.684286
91,20K104,K104,P.S./I.S. 104 The Fort Hamilton School,9115 5 AVENUE,-74.028492,40.618077
92,20K105,K105,P.S. 105 The Blythebourne,1031 59 STREET,-74.003635,40.63332
93,32K106,K106,P.S. 106 Edward Everett Hale,1328 PUTNAM AVENUE,-73.913378,40.693318
94,15K107,K107,P.S. 107 John W. Kimball,1301 8 AVENUE,-73.981181,40.662945
95,19K108,K108,P.S. 108 Sal Abbracciamento,200 LINWOOD STREET,-73.884348,40.681295
96,22K109,K109,P.S. 109,1001 EAST  45 STREET,-73.933099,40.635842
97,22K109,K109,P.S. 109,1001 EAST  45 STREET,-73.933099,40.635842
98,14K110,K110,P.S. 110 The Monitor,124 MONITOR STREET,-73.941926,40.723743
99,20K112,K112,P.S. 112 Lefferts Park,7115 15 AVENUE,-74.000565,40.619417
100,13K113,K113,M.S. 113 Ronald Edmonds Learning Center,300 ADELPHI STREET,-73.971474,40.688769
101,18K114,K114,P.S. 114 Ryder Elementary,1077 REMSEN AVENUE,-73.90788,40.642684
102,18K115,K115,P.S. 115 Daniel Mucatel School,1500 EAST  92 STREET,-73.897896,40.634861
103,32K116,K116,P.S. 116 Elizabeth L Farrell,515 KNICKERBOCKER AVENUE,-73.916563,40.698077
104,13K117,K117,J.H.S. 117 Francis Scott Key,300 WILLOUGHBY AVENUE,-73.9588,40.6926
105,15K118,K118,The Maurice Sendak Community School,211 8TH STREET,-73.987602,40.671145
106,22K119,K119,P.S. 119 Amersfort,3829 AVENUE K,-73.938733,40.626038
107,14K120,K120,P.S. 120 Carlos Tapia,18 BEAVER STREET,-73.937888,40.700819
108,21K121,K121,P.S. 121 Nelson A. Rockefeller,5301 20 AVENUE,-73.978472,40.622671
109,17K122,K122,Pathways in Technology Early College High School (,150 ALBANY AVENUE,-73.939282,40.675905
110,32K123,K123,P.S. 123 Suydam,100 IRVING AVENUE,-73.922388,40.704076
111,15K124,K124,P.S. 124 Silas B. Dutcher,515 4 AVENUE,-73.99062,40.667464
112,84K125,K125,Success Academy Charter School - Bed-Stuy 2,211 THROOP AVENUE,-73.943279,40.697619
113,14K126,K126,John Ericsson Middle School 126,424 LEONARD STREET,-73.947932,40.719818
114,20K127,K127,P.S. 127 Mckinley Park,7805 7 AVENUE,-74.018429,40.623687
115,21K128,K128,P.S. 128 Bensonhurst,2075 84 STREET,-73.995084,40.60498
116,84K129,K129,Success Academy Charter School - Cobble Hill,284 BALTIC STREET,-73.993293,40.685006
117,15K130,K130,P.S. 130 The Parkside,70 OCEAN PARKWAY,-73.976053,40.648924
118,15K131,K131,P.S. 131 Brooklyn,4305 FT HAMILTON PARKWAY,-73.993247,40.640728
119,14K132,K132,P.S. 132 The Conselyea School,320 MANHATTAN AVENUE,-73.945663,40.714772
120,13K133,K133,P.S. 133 William A. Butler,610 BALTIC STREET,-73.980455,40.679916
121,22K134,K134,P.S. K134,4001 18 AVENUE,-73.97318,40.632145
122,18K135,K135,P.S. 135 Sheldon A. Brookner,684 LINDEN BOULEVARD,-73.932949,40.653093
123,15K136,K136,I.S. 136 Charles O. Dewey,4004 4 AVENUE,-74.007596,40.652127
124,23K137,K137,P.S./I.S. 137 Rachel Jean Mitchell,121 SARATOGA AVENUE,-73.916641,40.682248
125,17K138,K138,P.S. 138 Brooklyn,760 PROSPECT PLACE,-73.951559,40.673943
126,17K138,K138,P.S. 138 Brooklyn,760 PROSPECT PLACE,-73.951559,40.673943
127,22K139,K139,P.S. 139 Alexine A. Fenty,330 RUGBY ROAD,-73.965862,40.64134
128,75K140,K140,P.S. K140,141 MACON STREET,-73.9456,40.68192
129,75K141,K141,P.S. K141,655 PARKSIDE AVENUE,-73.951575,40.656423
130,15K142,K142,JHS 142,610 HENRY STREET,-74.0014,40.6801
131,16K143,K143,M.S. 143 Performing & Fine Arts,800 GATES AVENUE,-73.932,40.6883
132,32K145,K145,P.S. 145 Andrew Jackson,100 NOLL STREET,-73.932388,40.701107
133,15K146,K146,"The Brooklyn New School, P.S. 146",610 HENRY STREET,-74.002022,40.679462
134,14K147,K147,P.S. 147 Isaac Remsen,325 BUSHWICK AVENUE,-73.93879,40.705005
135,19K149,K149,P.S. 149 Danny Kaye,700 SUTTER AVENUE,-73.89276,40.669361
136,23K150,K150,P.S. 150 Christopher,364 SACKMAN STREET,-73.90514,40.668768
137,32K151,K151,P.S. 151 Lyndon B. Johnson,763 KNICKERBOCKER AVENUE,-73.908242,40.693432
138,22K152,K152,School of Science & Technology,725 EAST  23 STREET,-73.954269,40.632619
139,22K152,K152,School of Science & Technology,725 EAST  23 STREET,-73.954269,40.632619
140,21K153,K153,P.S. 153 Homecrest,1970 HOMECREST AVENUE,-73.960027,40.601179
141,15K154,K154,The Windsor Terrace School,1625 11 AVENUE,-73.975967,40.657002
142,23K155,K155,P.S./ I.S. 155 Nicholas Herkimer,1355 HERKIMER STREET,-73.908682,40.677634
143,23K156,K156,P.S. 156 Waverly,104 SUTTER AVENUE,-73.91788,40.665553
144,14K157,K157,P.S./I.S. 157 The Benjamin Franklin Health & Scien,850 KENT AVENUE,-73.959999,40.695397
145,19K158,K158,P.S. 158 Warwick,400 ASHFORD STREET,-73.885214,40.67259
146,19K159,K159,P.S. 159 Isaac Pitkin,2781 PITKIN AVENUE,-73.869705,40.676111
147,20K160,K160,P.S. 160 William T. Sampson,5105 Fort Hamilton Parkway,-73.999045,40.636932
148,17K161,K161,P.S. 161 The Crown,330 CROWN STREET,-73.949243,40.665757
149,32K162,K162,J.H.S. 162 The Willoughby,1390 WILLOUGHBY AVENUE,-73.919643,40.706816
150,20K163,K163,P.S. 163 Bath Beach,109 BAY 14TH STREET,-74.007469,40.606739
151,20K164,K164,P.S. 164 Caesar Rodney,4211 14 AVENUE,-73.985739,40.637101
152,23K165,K165,P.S. 165 Ida Posner,76 LOTT AVENUE,-73.910938,40.657061
153,19K166,K166,J.H.S. 166 George Gershwin,800 VAN SICLEN AVE,-73.885704,40.659934
154,17K167,K167,P.S. 167 The Parkway,1025 EASTERN PARKWAY,-73.934316,40.669557
155,32K168,K168,The Brooklyn School for Math and Research,400 IRVING AVENUE,-73.911751,40.696457
156,15K169,K169,P.S. 169 Sunset Park,4305 7 AVENUE,-74.0017,40.645825
157,20K170,K170,Ralph A. Fabrizio School,619 72ND STREET,-74.018719,40.630373
158,20K170,K170,Ralph A. Fabrizio School,619 72ND STREET,-74.018719,40.630373
159,19K171,K171,I.S. 171 Abraham Lincoln,528 RIDGEWOOD AVENUE,-73.869434,40.685852
160,15K172,K172,P.S. 172 Beacon School of Excellence,825 4 AVENUE,-74.000191,40.657682
161,19K174,K174,P.S. 174 Dumont,574 DUMONT AVENUE,-73.897604,40.665446
162,20K176,K176,P.S. 176 Ovington,1225 69 STREET,-74.005205,40.624835
163,21K177,K177,P.S. 177 The Marlboro,346 AVENUE P,-73.974425,40.608169
164,23K178,K178,P.S. 178 Saint Clair Mckelway,2163 DEAN STREET,-73.915337,40.67538
165,20K179,K179,P.S. 179 Kensington,202 AVENUE C,-73.97726,40.640127
166,20K180,K180,The SEEALL Academy,5601 16 AVENUE,-73.98925,40.626454
167,17K181,K181,P.S. 181 Brooklyn,1023 NEW YORK AVENUE,-73.945883,40.648217
168,84K182,K182,Success Academy Charter School - Williamsburg,183 SOUTH  3 STREET,-73.960137,40.711915
169,23K183,K183,P.S. 183 Daniel Chappie James,76 RIVERDALE AVENUE,-73.9139,40.6602
170,23K184,K184,P.S. 184 Newport,273 NEWPORT STREET,-73.905004,40.660385
171,20K185,K185,P.S. 185 Walter Kassenbrock,8601 RIDGE BOULEVARD,-74.033429,40.623598
172,20K186,K186,P.S. 186 Dr. Irving A Gladstone,7601 19 AVENUE,-73.994258,40.610917
173,20K187,K187,The Christa McAuliffe School\I.S. 187,1171 65 STREET,-74.003883,40.627929
174,21K188,K188,P.S. 188 Michael E. Berdy,3314 NEPTUNE AVENUE,-74.000489,40.576733
175,17K189,K189,P.S. 189 The Bilingual Center,1100 EAST NEW YORK AVENUE,-73.925435,40.665228
176,19K190,K190,P.S. 190 Sheffield,590 SHEFFIELD AVENUE,-73.894877,40.662243
177,17K191,K191,P.S. 191 Paul Robeson,1600 PARK PLACE,-73.924127,40.67173
178,20K192,K192,P.S. 192 - The Magnet School for Math and Science,4715 18 AVENUE,-73.97954,40.6288
179,22K193,K193,P.S. 193 Gil Hodges,2515 AVENUE L,-73.950321,40.62208
180,22K194,K194,P.S. 194 Raoul Wallenberg,3117 AVENUE W,-73.934163,40.598069
181,22K195,K195,P.S. 195 Manhattan Beach,131 IRWIN STREET,-73.943498,40.580161
182,14K196,K196,P.S. 196 Ten Eyck,207 BUSHWICK AVENUE,-73.939385,40.708804
183,22K197,K197,P.S. 197 - The Kings Highway Academy,1599 EAST  22 STREET,-73.951398,40.612339
184,22K198,K198,P.S. 198 Brooklyn,4105 FARRAGUT ROAD,-73.937083,40.637601
185,21K199,K199,P.S. 199 Frederick Wachtel,1100 ELM AVENUE,-73.963026,40.61631
186,20K200,K200,P.S. 200 Benson School,1940 BENSON AVENUE,-74.001915,40.602809
187,20K201,K201,J.H.S. 201 The Dyker Heights,8010 12 AVENUE,-74.013749,40.619043
188,19K202,K202,P.S. 202 Ernest S. Jenkyns,982 HEGEMAN AVENUE,-73.876084,40.665817
189,22K203,K203,P.S. 203 Floyd Bennett School,5101 AVENUE M,-73.925732,40.622108
190,20K204,K204,P.S. 204 Vince Lombardi,8101 15 AVENUE,-74.006137,40.613535
191,20K205,K205,P.S. 205 Clarion,6701 20 AVENUE,-73.986792,40.614737
192,22K206,K206,P.S. 206 Joseph F Lamb,2200 GRAVESEND NECK ROAD,-73.948453,40.596876
193,22K207,K207,P.S. 207 Elizabeth G. Leary,4011 FILLMORE AVENUE,-73.930485,40.613981
194,18K208,K208,P.S. 208 Elsa Ebeling,4801 AVENUE D,-73.930898,40.6427
195,21K209,K209,P.S. 209 Margaret Mead,2609 EAST  7 STREET,-73.961191,40.5868
196,18K211,K211,I.S. 211 John Wilson,1001 EAST 100 STREET,-73.895224,40.642931
197,21K212,K212,P.S. 212 Lady Deborah Moody,87 BAY  49 STREET,-73.985368,40.587612
198,19K213,K213,P.S. 213 New Lots,580 HEGEMAN AVENUE,-73.889968,40.659845
199,19K214,K214,P.S. 214 Michael Friedsam,2944 PITKIN AVENUE,-73.862961,40.675881
200,21K215,K215,P.S. 215 Morris H. Weiss,415 AVENUE S,-73.970171,40.602722
201,21K216,K216,P.S. 216 Arturo Toscanini,350 AVENUE X,-73.969647,40.59
202,22K217,K217,P.S. 217 Colonel David Marcus School,1100 NEWKIRK AVENUE,-73.966442,40.633482
203,19K218,K218,J.H.S. 218 James P. Sinnott,370 FOUNTAIN AVENUE,-73.874537,40.67002
204,18K219,K219,P.S. 219 Kennedy-King,1060 CLARKSON AVENUE,-73.922296,40.658834
205,20K220,K220,J.H.S. 220 John J. Pershing,4812 9TH AVENUE,-74.00125,40.640997
206,17K221,K221,P.S. 221 Toussaint L'Ouverture,791 EMPIRE BOULEVARD,-73.935753,40.663964
207,22K222,K222,P.S. 222 Katherine R. Snyder,3301 QUENTIN ROAD,-73.939205,40.614005
208,20K223,K223,J.H.S. 223 The Montauk,4200 16 AVENUE,-73.982424,40.6351
209,19K224,K224,P.S. 224 Hale A. Woodruff,757 WORTMAN AVENUE,-73.866542,40.664143
210,21K225,K225,P.S. K225 - The Eileen E. Zaglin,1075 OCEAN VIEW AVENUE,-73.955856,40.58026
211,21K226,K226,P.S. 226 Alfred De B. Mason,6006 23 AVENUE,-73.977099,40.615405
212,20K227,K227,J.H.S. 227 Edward B. Shallow,6500 16 AVENUE,-73.995961,40.622102
213,21K228,K228,I.S. 228 David A. Boody,228 AVENUE S,-73.976801,40.60066
214,20K229,K229,P.S. 229 Dyker,1400 BENSON AVENUE,-74.013585,40.610331
215,15K230,K230,P.S. 230 Doris L. Cohen,1 ALBEMARLE ROAD,-73.980515,40.645609
216,75K231,K231,P.S. K231,5601 16 AVENUE,-73.98925,40.626454
217,18K232,K232,I.S. 232 The Winthrop,905 WINTHROP STREET,-73.929,40.6584
218,18K233,K233,P.S. 233 Langston Hughes,9301 AVENUE B,-73.914282,40.651642
219,22K234,K234,J.H.S. 234 Arthur W. Cunningham,1875 EAST  17 STREET,-73.955217,40.604447
220,18K235,K235,P.S. 235 Janice Marie Knight School,525 LENOX ROAD,-73.940922,40.655337
221,22K236,K236,P.S. 236 Mill Basin,6302 AVENUE U,-73.912005,40.615494
222,21K238,K238,P.S. 238 Anne Sullivan,1633 EAST  8 STREET,-73.964586,40.608801
223,21K239,K239,Mark Twain I.S. 239 for the Gifted & Talented,2401 NEPTUNE AVENUE,-73.992447,40.57864
224,22K240,K240,Andries Hudde,2500 NOSTRAND AVENUE,-73.946836,40.623788
225,17K241,K241,P.S. 241 Emma L. Johnston,976 PRESIDENT STREET,-73.960924,40.668913
226,16K243,K243,P.S. 243K- The Weeksville School,1580 DEAN STREET,-73.935093,40.675675
227,18K244,K244,P.S. 244 Richard R. Green,5404 TILDEN AVENUE,-73.925592,40.647851
228,22K245,K245,P.S. 245,249 EAST 17TH STREET,-73.962743,40.644927
229,17K246,K246,M.S. 246 Walt Whitman,72 VERONICA PLACE,-73.95348,40.648352
230,20K247,K247,P.S. 247 Brooklyn,7000 21 AVENUE,-73.987195,40.612247
231,17K249,K249,P.S. 249 The Caton,18 MARLBOROUGH ROAD,-73.966456,40.649509
232,14K250,K250,P.S. 250 George H. Lindsay,108 MONTROSE AVENUE,-73.945659,40.706708
233,22K251,K251,P.S. 251 Paerdegat,1037 EAST  54 STREET,-73.923894,40.63195
234,18K252,K252,I.S. 252 Arthur S. Somers,1084 LENOX ROAD,-73.9201,40.6583
235,21K253,K253,P.S. 253,601 OCEANVIEW AVENUE,-73.961962,40.580237
236,22K254,K254,P.S. 254 Dag Hammarskjold,1801 AVENUE Y,-73.95155,40.591103
237,22K255,K255,P.S. 255 Barbara Reing School,1866 EAST  17 STREET,-73.955891,40.604461
238,13K256,K256,P.S. 256 Benjamin Banneker,114 KOSCIUSZKO STREET,-73.94961,40.690595
239,14K257,K257,P.S. 257 John F. Hylan,60 COOK STREET,-73.941345,40.702759
240,13K258,K258,J.H.S. 258 David Ruggles,141 MACON STREET,-73.9454,40.6816
241,20K259,K259,J.H.S. 259 William McKinley,7305 FT HAMILTON PARKWAY,-74.014633,40.626089
242,19K260,K260,P.S. 260 Breuckelen,875 WILLIAMS AVENUE,-73.893294,40.653368
243,15K261,K261,P.S. 261 Philip Livingston,314 PACIFIC STREET,-73.988667,40.687218
244,16K262,K262,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,500 MACON STREET,-73.930132,40.682949
245,20K264,K264,P.S. 264 Bay Ridge Elementary School For The Arts,371 89th Street,-74.029444,40.621025
246,13K265,K265,Dr. Susan S. McKinney Secondary School of the Arts,101 PARK AVENUE,-73.976104,40.697177
247,13K266,K266,M.S. K266 - Park Place Community Middle School,62 PARK PLACE,-73.976648,40.678809
248,16K267,K267,"M.S. 267 Math, Science & Technology",800 GATES AVENUE,-73.932066,40.68797
249,18K268,K268,P.S. 268 Emma Lazarus,133 EAST  53 STREET,-73.92756,40.657421
250,22K269,K269,P.S. 269 Nostrand,1957 NOSTRAND AVENUE,-73.947672,40.637625
251,13K270,K270,P.S. 270 Johann DeKalb,241 EMERSON PLACE,-73.961134,40.691275
252,23K271,K271,I.S. 271 John M. Coleman,121 SARATOGA AVENUE,-73.9171,40.6827
253,18K272,K272,P.S. 272 Curtis Estabrook,101-24 SEAVIEW AVENUE,-73.886373,40.635542
254,19K273,K273,P.S. 273 Wortman,923 JEROME STREET,-73.879276,40.6585
255,32K274,K274,P.S. 274 Kosciusko,800 BUSHWICK AVENUE,-73.92818,40.694179
256,23K275,K275,IS 275 Thelma J. Hamilton,985 ROCKAWAY AVENUE,-73.9074,40.6566
257,18K276,K276,P.S. 276 Louis Marshall,1070 EAST  83 STREET,-73.908436,40.634005
258,22K277,K277,P.S. 277 Gerritsen Beach,2529 GERRITSEN AVENUE,-73.92785,40.595798
259,22K278,K278,J.H.S. 278 Marine Park,1925 STUART STREET,-73.938721,40.606745
260,18K279,K279,P.S. 279 Herman Schreiber,1070 EAST 104 STREET,-73.892797,40.644134
261,21K280,K280,IS 280 Brooklyn Studio School,8310 21ST AVENUE,-73.9944,40.6049
262,21K281,K281,I.S. 281 Joseph B Cavallaro,8787 24 AVENUE,-73.993565,40.594648
263,13K282,K282,P.S. 282 Park Slope,180 6 AVENUE,-73.977983,40.676649
264,23K284,K284,"The Gregory Jocko Jackson School of Sports, Art, a",213 OSBORN STREET,-73.907634,40.666942
265,18K285,K285,I.S. 285 Meyer Levin,5909 BEVERLY ROAD,-73.920784,40.647818
266,18K285,K285,I.S. 285 Meyer Levin,5909 BEVERLY ROAD,-73.920784,40.647818
267,13K287,K287,P.S. 287 Bailey K. Ashford,50 NAVY STREET,-73.98112,40.697856
268,21K288,K288,P.S. 288 The Shirley Tanyhill,2950 WEST  25 STREET,-73.992393,40.574029
269,17K289,K289,P.S. 289 George V. Brower,900 ST MARKS AVENUE,-73.942401,40.674244
270,19K290,K290,P.S. 290 Juan Morel Campos,135 SCHENCK AVENUE,-73.889375,40.678182
271,32K291,K291,J.H.S. 291 Roland Hayes,231 PALMETTO STREET,-73.915217,40.695875
272,19K292,K292,J.H.S. 292 Margaret S. Douglas,301 VERMONT STREET,-73.893319,40.671601
273,19K292,K292,J.H.S. 292 Margaret S. Douglas,301 VERMONT STREET,-73.893319,40.671601
274,15K295,K295,P.S. 295,330 18 STREET,-73.988743,40.660805
275,32K296,K296,I.S. 296 - The Anna Gonzalez Community School,125 COVERT STREET,-73.910589,40.688647
276,14K297,K297,P.S. 297 Abraham Stockton,700 PARK AVENUE,-73.948166,40.697377
277,23K298,K298,P.S. 298 Dr. Betty Shabazz,85 WATKINS STREET,-73.907718,40.671015
278,32K299,K299,P.S. 299 Thomas Warren Field,88 WOODBINE STREET,-73.917899,40.690755
279,13K301,K301,Satellite East Middle School,31 NEW YORK AVENUE,-73.946381,40.679079
280,19K302,K302,J.H.S. 302 Rafael Cordero,350 LINWOOD STREET,-73.884211,40.677112
281,21K303,K303,I.S. 303 Herbert S. Eisenberg,501 WEST AVENUE,-73.972009,40.582518
282,21K303,K303,I.S. 303 Herbert S. Eisenberg,501 WEST AVENUE,-73.972009,40.582518
283,16K304,K304,P.S. 304 Casimir Pulaski,280 HART STREET,-73.9408,40.6941
284,13K305,K305,P.S. 305 Dr. Peter Ray,344 MONROE STREET,-73.94573,40.685653
285,19K306,K306,P.S. 306 Ethan Allen,970 VERMONT STREET,-73.88662,40.65534
286,13K307,K307,P.S. 307 Daniel Hale Williams,209 YORK STREET,-73.981599,40.701789
287,16K308,K308,P.S. 308 Clara Cardwell,616 QUINCY STREET,-73.935509,40.688323
288,16K309,K309,P.S. 309 The George E. Wibecan Preparatory Academy,794 MONROE STREET,-73.924422,40.6881
